,37.5025561,127.0420019
메이필드호텔,발산1동
,37.5470897,126.8191244
밀레니엄서울/힐튼호텔,회현동
,37.5554221,126.9754394
반얀트리클럽/&스파서울,장충동
,37.5505089,127.000642
서울/팔레스호텔,반포4동
,37.5009257,127.0017941
쉐라톤서울/디큐브시티호텔,신도림동
,37.5088669,126.8900053
신라호텔,장충동
,37.5558309,127.0053328
엘루이호텔,청담동
,37.525516,127.053505
웨스틴조선호텔/서울,소공동
,37.564369,126.980058
뉴힐탑관광호텔,논현1동
,37.511326,127.03196
인터컨티넨탈/서울코엑스,삼성1동
,37.5128662,127.0572702
세종호텔,명동
,37.5613559,126.9879652
임피리얼/팰리스호텔,논현2동
,37.5140279,127.0359127
스탠포드/호텔서울,상암동
,37.5822056,126.8868971
콘래드서울,여의동
,37.5254326,126.9266246
해밀톤호텔,이태원1동
,37.5348278,126.9936841
파크하얏트/서울호텔,대치2동
,37.50852,127.064135
플라자호텔,소공동
,37.5646462,126.9780807
호텔리츠/칼튼서울,역삼1동
,37.5048465,127.0271418
노보텔/앰배서더독산,독산4동
,37.4674344,126.8984245
고궁호텔,종로1.2.3.4가동
,37.5757113,126.996793
라마다호텔/앤스위트,소공동
,37.5604799,126.9718592
렉싱턴호텔,여의동
,37.530201,126.921924
아스토리아/호텔,필동
,37.5608086,126.9912585
베스트웨스턴/강남호텔,논현1동
,37.50634,127.029774
베스트웨스턴호텔/나이아가라,염창동
,37.5492115,126.8786305
서울가든호텔,도화동
,37.5407089,126.9484512
뉴리젠트호텔,화곡6동
,37.5541923,126.8517981
홀리데이인/성북서울호텔,종암동
,37.600968,127.033217
아카시아호텔,을지로동
,37.5664456,127.0026955
경남관광호텔,장안2동
,37.570126,127.0709987
노블레스/관광호텔,상계6.7동
,37.6552237,127.0593635
리버파크/관광호텔,염창동
,37.5485623,126.8781861
메트로호텔,명동
,37.565127,126.983688
사보이호텔,명동
,37.5617577,126.9842191
라뉘호텔,대흥동
,37.5534246,126.9361129
라미르호텔,역삼1동
,37.5066578,127.0400774
삼정관광호텔,역삼1동
,37.5058105,127.0311572
서울렉스호텔,회현동
,37.5586469,126.9809139
앰버서더,대치4동
,37.5050742,127.0570338
여의도/관광호텔,여의동
,37.5302281,126.9252587
영동관광호텔,논현1동
,37.5177083,127.0247163
캘리포니아/관광호텔,가락본동
,37.4940697,127.1191669
크라운/관광호텔,이태원1동
,37.531396,126.990813
크라운관광호텔,종로1.2.3.4가동
,37.5739484,126.9881808
트리아/관광호텔,역삼1동
,37.5028748,127.0394336
팝그린/관광호텔,압구정동
,37.5274572,127.0295767
프린스호텔,명동
,37.5606746,126.9862685
한강호텔,광장동
,37.5479006,127.1096517
호텔그린월드,등촌2동
,37.5513957,126.8633145
바빌론호텔,잠원동
,37.5150696,127.0170227
브라운/관광호텔,보문동
,37.582291,127.021276
비원관광호텔,종로1.2.3.4가동
,37.575562,126.998273
잠실관광호텔,잠실본동
,37.50485,127.088099
프랜드호텔,서초1동
,37.4867642,127.021738
호텔R,영등포동
,37.5171871,126.9120591
호텔도도,영등포동
,37.5207059,126.9121434
호텔에어포트,공항동
,37.5613975,126.8142964
JJ호텔,용답동
,37.56137,127.060823
The-K서울호텔/(구 더케이서울호텔),양재2동
,37.466097,127.0328345
가야관광호텔,남영동
,37.5408018,126.9723084
노블레스,역삼1동
,37.5013577,127.0357776
녹스호텔,역삼1동
,37.502734,127.0397508
뉴천지/관광호텔,을지로동
,37.5658643,127.0033201
라바호텔,서초3동
,37.4864587,127.0136029
라자호텔,방이2동
,37.515367,127.108224
